seconds,mV
10.447,-0.224
10.450,-0.217
10.453,-0.217
10.456,-0.217
10.458,-0.214
10.461,-0.217
10.464,-0.210
10.467,-0.183
10.469,-0.176
10.472,-0.186
10.475,-0.200
10.478,-0.193
10.481,-0.159
10.483,-0.139
10.486,-0.146
10.489,-0.180
10.492,-0.203
10.494,-0.203
10.497,-0.186
10.500,-0.163
10.503,-0.156
10.506,-0.169
10.508,-0.200
10.511,-0.207
10.514,-0.190
10.517,-0.173
10.519,-0.166
10.522,-0.183
10.525,-0.207
10.528,-0.207
10.531,-0.186
10.533,-0.163
10.536,-0.169
10.539,-0.183
10.542,-0.180
10.544,-0.169
10.547,-0.163
10.550,-0.159
10.553,-0.156
10.556,-0.186
10.558,-0.227
10.561,-0.247
10.564,-0.237
10.567,-0.217
10.569,-0.197
10.572,-0.197
10.575,-0.234
10.578,-0.264
10.581,-0.264
10.583,-0.247
10.586,-0.237
10.589,-0.247
10.592,-0.268
10.594,-0.254
10.597,-0.207
10.600,-0.180
10.603,-0.200
10.606,-0.254
10.608,-0.268
10.611,-0.254
10.614,-0.251
10.617,-0.224
10.619,-0.207
10.622,-0.224
10.625,-0.244
10.628,-0.237
10.631,-0.224
10.633,-0.224
10.636,-0.241
10.639,-0.271
10.642,-0.268
10.644,-0.251
10.647,-0.234
10.650,-0.217
10.653,-0.224
10.656,-0.237
10.658,-0.261
10.661,-0.247
10.664,-0.231
10.667,-0.227
10.669,-0.234
10.672,-0.234
10.675,-0.234
10.678,-0.237
10.681,-0.244
10.683,-0.251
10.686,-0.244
10.689,-0.261
10.692,-0.271
10.694,-0.254
10.697,-0.214
10.700,-0.166
10.703,-0.142
10.706,-0.163
10.708,-0.207
10.711,-0.258
10.714,-0.292
10.717,-0.285
10.719,-0.278
10.722,-0.292
10.725,-0.288
10.728,-0.278
10.731,-0.264
10.733,-0.264
10.736,-0.275
10.739,-0.258
10.742,-0.244
10.744,-0.241
10.747,-0.237
10.750,-0.231
10.753,-0.244
10.756,-0.264
10.758,-0.261
10.761,-0.220
10.764,-0.186
10.767,-0.163
10.769,-0.163
10.772,-0.169
10.775,-0.183
10.778,-0.190
10.781,-0.176
10.783,-0.156
10.786,-0.132
10.789,-0.112
10.792,-0.115
10.794,-0.115
10.797,-0.108
10.800,-0.078
10.803,-0.061
10.806,-0.071
10.808,-0.081
10.811,-0.088
10.814,-0.088
10.817,-0.075
10.819,-0.061
10.822,-0.051
10.825,-0.058
10.828,-0.085
10.831,-0.105
10.833,-0.108
10.836,-0.102
10.839,-0.115
10.842,-0.132
10.844,-0.142
10.847,-0.142
10.850,-0.136
10.853,-0.149
10.856,-0.186
10.858,-0.234
10.861,-0.244
10.864,-0.241
10.867,-0.254
10.869,-0.285
10.872,-0.302
10.875,-0.312
10.878,-0.312
10.881,-0.305
10.883,-0.305
10.886,-0.308
10.889,-0.315
10.892,-0.302
10.894,-0.278
10.897,-0.271
10.900,-0.281
10.903,-0.305
10.906,-0.319
10.908,-0.322
10.911,-0.312
10.914,-0.312
10.917,-0.322
10.919,-0.346
10.922,-0.366
10.925,-0.349
10.928,-0.275
10.931,-0.169
10.933,-0.061
10.936,0.071
10.939,0.285
10.942,0.583
10.944,1.014
10.947,1.610
10.950,2.329
10.953,3.017
10.956,3.468
10.958,3.502
10.961,3.220
10.964,2.793
10.967,2.244
10.969,1.512
10.972,0.614
10.975,-0.136
10.978,-0.559
10.981,-0.708
10.983,-0.647
10.986,-0.512
10.989,-0.420
10.992,-0.390
10.994,-0.400
10.997,-0.407
11.000,-0.400
11.003,-0.373
11.006,-0.342
11.008,-0.312
11.011,-0.305
11.014,-0.302
11.017,-0.285
11.019,-0.278
11.022,-0.298
11.025,-0.336
11.028,-0.346
11.031,-0.325
11.033,-0.292
11.036,-0.292
11.039,-0.302
11.042,-0.312
11.044,-0.305
11.047,-0.285
11.050,-0.278
11.053,-0.285
11.056,-0.295
11.058,-0.298
11.061,-0.295
11.064,-0.281
11.067,-0.264
11.069,-0.264
11.072,-0.278
11.075,-0.285
11.078,-0.285
11.081,-0.264
11.083,-0.254
11.086,-0.251
11.089,-0.258
11.092,-0.271
11.094,-0.268
11.097,-0.234
11.100,-0.200
11.103,-0.210
11.106,-0.254
11.108,-0.292
11.111,-0.285
11.114,-0.261
11.117,-0.241
11.119,-0.227
11.122,-0.231
11.125,-0.234
11.128,-0.217
11.131,-0.186
11.133,-0.190
11.136,-0.203
11.139,-0.193
11.142,-0.169
11.144,-0.153
11.147,-0.163
11.150,-0.173
11.153,-0.159
11.156,-0.139
11.158,-0.142
11.161,-0.136
11.164,-0.119
11.167,-0.095
11.169,-0.078
11.172,-0.078
11.175,-0.088
11.178,-0.092
11.181,-0.064
11.183,-0.017
11.186,0.024
11.189,0.041
11.192,0.044
11.194,0.071
11.197,0.125
11.200,0.166
11.203,0.193
11.206,0.200
11.208,0.193
11.211,0.207
11.214,0.271
11.217,0.319
11.219,0.322
11.222,0.325
11.225,0.353
11.228,0.383
11.231,0.424
11.233,0.451
11.236,0.461
11.239,0.471
11.242,0.478
11.244,0.508
11.247,0.549
11.250,0.580
11.253,0.590
11.256,0.556
11.258,0.539
11.261,0.556
11.264,0.580
11.267,0.580
11.269,0.569
11.272,0.573
11.275,0.580
11.278,0.580
11.281,0.563
11.283,0.522
11.286,0.485
11.289,0.451
11.292,0.424
11.294,0.397
11.297,0.376
11.300,0.353
11.303,0.319
11.306,0.278
11.308,0.251
11.311,0.231
11.314,0.203
11.317,0.180
11.319,0.139
11.322,0.078
11.325,0.003
11.328,-0.058
11.331,-0.075
11.333,-0.068
11.336,-0.092
11.339,-0.122
11.342,-0.139
11.344,-0.153
11.347,-0.146
11.350,-0.156
11.353,-0.197
11.356,-0.210
11.358,-0.197
11.361,-0.190
11.364,-0.200
11.367,-0.220
11.369,-0.237
11.372,-0.251
11.375,-0.254
11.378,-0.258
11.381,-0.251
11.383,-0.224
11.386,-0.237
11.389,-0.268
11.392,-0.278
11.394,-0.278
11.397,-0.271
11.400,-0.268
11.403,-0.251
11.406,-0.241
11.408,-0.251
11.411,-0.275
11.414,-0.288
11.417,-0.288
11.419,-0.278
11.422,-0.292
11.425,-0.319
11.428,-0.322
11.431,-0.305
11.433,-0.288
11.436,-0.281
11.439,-0.268
11.442,-0.288
11.444,-0.312
11.447,-0.315
11.450,-0.295
11.453,-0.292
11.456,-0.305
11.458,-0.315
11.461,-0.308
11.464,-0.285
11.467,-0.275
11.469,-0.288
11.472,-0.308
11.475,-0.322
11.478,-0.322
11.481,-0.298
11.483,-0.275
11.486,-0.278
11.489,-0.298
11.492,-0.305
11.494,-0.302
11.497,-0.271
11.500,-0.247
11.503,-0.254
11.506,-0.244
11.508,-0.224
11.511,-0.224
11.514,-0.227
11.517,-0.234
11.519,-0.231
11.522,-0.217
11.525,-0.227
11.528,-0.224
11.531,-0.210
11.533,-0.200
11.536,-0.186
11.539,-0.197
11.542,-0.227
11.544,-0.251
11.547,-0.254
11.550,-0.241
11.553,-0.214
11.556,-0.214
11.558,-0.234
11.561,-0.241
11.564,-0.220
11.567,-0.210
11.569,-0.224
11.572,-0.234
11.575,-0.231
11.578,-0.210
11.581,-0.197
11.583,-0.203
11.586,-0.220
11.589,-0.214
11.592,-0.183
11.594,-0.186
11.597,-0.197
11.600,-0.200
11.603,-0.227
11.606,-0.261
11.608,-0.264
11.611,-0.254
11.614,-0.241
11.617,-0.234
11.619,-0.234
11.622,-0.241
11.625,-0.247
11.628,-0.247
11.631,-0.234
11.633,-0.207
11.636,-0.203
11.639,-0.231
11.642,-0.241
11.644,-0.234
11.647,-0.220
11.650,-0.217
11.653,-0.224
11.656,-0.237
11.658,-0.254
11.661,-0.268
11.664,-0.268
11.667,-0.244
11.669,-0.241
11.672,-0.247
11.675,-0.261
11.678,-0.258
11.681,-0.247
11.683,-0.244
11.686,-0.251
11.689,-0.254
11.692,-0.258
11.694,-0.251
11.697,-0.231
11.700,-0.224
11.703,-0.237
11.706,-0.247
11.708,-0.258
11.711,-0.254
11.714,-0.227
11.717,-0.210
11.719,-0.210
11.722,-0.234
11.725,-0.251
11.728,-0.237
11.731,-0.224
11.733,-0.244
11.736,-0.271
11.739,-0.268
11.742,-0.247
11.744,-0.241
11.747,-0.241
11.750,-0.241
11.753,-0.231
11.756,-0.241
11.758,-0.258
11.761,-0.264
11.764,-0.268
11.767,-0.264
11.769,-0.264
11.772,-0.278
11.775,-0.285
11.778,-0.268
11.781,-0.237
11.783,-0.217
11.786,-0.220
11.789,-0.237
11.792,-0.251
11.794,-0.264
11.797,-0.251
11.800,-0.241
11.803,-0.241
11.806,-0.258
11.808,-0.271
11.811,-0.268
11.814,-0.254
11.817,-0.234
11.819,-0.210
11.822,-0.203
11.825,-0.210
11.828,-0.210
11.831,-0.186
11.833,-0.163
11.836,-0.159
11.839,-0.159
11.842,-0.159
11.844,-0.153
11.847,-0.132
11.850,-0.102
11.853,-0.085
11.856,-0.075
11.858,-0.064
11.861,-0.061
11.864,-0.054
11.867,-0.054
11.869,-0.075
11.872,-0.088
11.875,-0.085
11.878,-0.068
11.881,-0.044
11.883,-0.037
11.886,-0.061
11.889,-0.081
11.892,-0.098
11.894,-0.125
11.897,-0.149
11.900,-0.156
11.903,-0.153
11.906,-0.159
11.908,-0.180
11.911,-0.200
11.914,-0.227
11.917,-0.247
11.919,-0.251
11.922,-0.254
11.925,-0.275
11.928,-0.295
11.931,-0.302
11.933,-0.302
11.936,-0.305
11.939,-0.312
11.942,-0.329
11.944,-0.325
11.947,-0.312
11.950,-0.302
11.953,-0.302
11.956,-0.298
11.958,-0.305
11.961,-0.302
11.964,-0.292
11.967,-0.288
11.969,-0.305
11.972,-0.325
11.975,-0.349
11.978,-0.366
11.981,-0.339
11.983,-0.278
11.986,-0.193
11.989,-0.102
11.992,0.041
11.994,0.261
11.997,0.573
12.000,1.014
12.003,1.597
12.006,2.268
12.008,2.929
12.011,3.373
12.014,3.437
12.017,3.183
12.019,2.786
12.022,2.278
12.025,1.553
12.028,0.647
12.031,-0.095
12.033,-0.515
12.036,-0.688
12.039,-0.664
12.042,-0.536
12.044,-0.434
12.047,-0.397
12.050,-0.397
12.053,-0.393
12.056,-0.386
12.058,-0.359
12.061,-0.332
12.064,-0.319
12.067,-0.319
12.069,-0.319
12.072,-0.315
12.075,-0.325
12.078,-0.336
12.081,-0.325
12.083,-0.312
12.086,-0.308
12.089,-0.308
12.092,-0.322
12.094,-0.319
12.097,-0.295
12.100,-0.271
12.103,-0.278
12.106,-0.295
12.108,-0.319
12.111,-0.312
12.114,-0.292
12.117,-0.292
12.119,-0.278
12.122,-0.264
12.125,-0.281
12.128,-0.295
12.131,-0.281
12.133,-0.268
12.136,-0.275
12.139,-0.288
12.142,-0.292
12.144,-0.285
12.147,-0.268
12.150,-0.244
12.153,-0.268
12.156,-0.285
12.158,-0.275
12.161,-0.261
12.164,-0.254
12.167,-0.247
12.169,-0.237
12.172,-0.237
12.175,-0.251
12.178,-0.251
12.181,-0.237
12.183,-0.220
12.186,-0.220
12.189,-0.217
12.192,-0.214
12.194,-0.224
12.197,-0.214
12.200,-0.197
12.203,-0.180
12.206,-0.186
12.208,-0.200
12.211,-0.190
12.214,-0.169
12.217,-0.136
12.219,-0.115
12.222,-0.108
12.225,-0.115
12.228,-0.105
12.231,-0.071
12.233,-0.041
12.236,-0.027
12.239,-0.014
12.242,-0.003
12.244,0.007
12.247,0.034
12.250,0.068
12.253,0.088
12.256,0.102
12.258,0.122
12.261,0.166
12.264,0.210
12.267,0.237
12.269,0.275
12.272,0.305
12.275,0.315
12.278,0.339
12.281,0.359
12.283,0.393
12.286,0.427
12.289,0.437
12.292,0.447
12.294,0.475
12.297,0.498
12.300,0.519
12.303,0.532
12.306,0.539
12.308,0.546
12.311,0.563
12.314,0.580
12.317,0.590
12.319,0.590
12.322,0.583
12.325,0.569
12.328,0.569
12.331,0.576
12.333,0.569
12.336,0.549
12.339,0.515
12.342,0.485
12.344,0.458
12.347,0.447
12.350,0.441
12.353,0.407
12.356,0.363
12.358,0.319
12.361,0.285
12.364,0.258
12.367,0.234
12.369,0.197
12.372,0.153
12.375,0.105
12.378,0.075
12.381,0.061
12.383,0.041
12.386,0.010
12.389,-0.020
12.392,-0.058
12.394,-0.098
12.397,-0.132
12.400,-0.139
12.403,-0.153
12.406,-0.176
12.408,-0.193
12.411,-0.197
12.414,-0.200
12.417,-0.203
12.419,-0.217
12.422,-0.220
12.425,-0.231
12.428,-0.244
12.431,-0.258
12.433,-0.251
12.436,-0.251
12.439,-0.268
12.442,-0.271
12.444,-0.261
12.447,-0.258
12.450,-0.258
12.453,-0.254
12.456,-0.258
12.458,-0.271
12.461,-0.275
12.464,-0.268
12.467,-0.264
12.469,-0.271
12.472,-0.288
12.475,-0.298
12.478,-0.298
12.481,-0.278
12.483,-0.278
12.486,-0.288
12.489,-0.295
12.492,-0.305
12.494,-0.312
12.497,-0.302
12.500,-0.285
12.503,-0.292
12.506,-0.305
12.508,-0.308
12.511,-0.315
12.514,-0.302
12.517,-0.278
12.519,-0.288
12.522,-0.308
12.525,-0.312
12.528,-0.315
12.531,-0.305
12.533,-0.281
12.536,-0.281
12.539,-0.295
12.542,-0.288
12.544,-0.271
12.547,-0.254
12.550,-0.251
12.553,-0.258
12.556,-0.264
12.558,-0.275
12.561,-0.268
12.564,-0.261
12.567,-0.247
12.569,-0.231
12.572,-0.217
12.575,-0.220
12.578,-0.234
12.581,-0.237
12.583,-0.227
12.586,-0.220
12.589,-0.224
12.592,-0.220
12.594,-0.227
12.597,-0.224
12.600,-0.217
12.603,-0.203
12.606,-0.203
12.608,-0.214
12.611,-0.220
12.614,-0.214
12.617,-0.207
12.619,-0.214
12.622,-0.231
12.625,-0.244
12.628,-0.241
12.631,-0.227
12.633,-0.231
12.636,-0.237
12.639,-0.237
12.642,-0.234
12.644,-0.244
12.647,-0.247
12.650,-0.227
12.653,-0.217
12.656,-0.220
12.658,-0.234
12.661,-0.244
12.664,-0.244
12.667,-0.234
12.669,-0.231
12.672,-0.247
12.675,-0.261
12.678,-0.258
12.681,-0.244
12.683,-0.231
12.686,-0.237
12.689,-0.261
12.692,-0.268
12.694,-0.261
12.697,-0.247
12.700,-0.247
12.703,-0.244
12.706,-0.251
12.708,-0.264
12.711,-0.268
12.714,-0.254
12.717,-0.234
12.719,-0.237
12.722,-0.254
12.725,-0.268
12.728,-0.271
12.731,-0.271
12.733,-0.264
12.736,-0.268
12.739,-0.264
12.742,-0.254
12.744,-0.251
12.747,-0.258
12.750,-0.251
12.753,-0.247
12.756,-0.264
12.758,-0.278
12.761,-0.271
12.764,-0.251
12.767,-0.244
12.769,-0.258
12.772,-0.268
12.775,-0.271
12.778,-0.271
12.781,-0.261
12.783,-0.251
12.786,-0.254
12.789,-0.264
12.792,-0.271
12.794,-0.275
12.797,-0.264
12.800,-0.247
12.803,-0.244
12.806,-0.268
12.808,-0.275
12.811,-0.271
12.814,-0.258
12.817,-0.247
12.819,-0.244
12.822,-0.237
12.825,-0.241
12.828,-0.231
12.831,-0.210
12.833,-0.193
12.836,-0.183
12.839,-0.183
12.842,-0.190
12.844,-0.190
12.847,-0.173
12.850,-0.149
12.853,-0.146
12.856,-0.156
12.858,-0.153
12.861,-0.119
12.864,-0.081
12.867,-0.068
12.869,-0.071
12.872,-0.081
12.875,-0.108
12.878,-0.129
12.881,-0.115
12.883,-0.081
12.886,-0.058
12.889,-0.051
12.892,-0.071
12.894,-0.105
12.897,-0.112
12.900,-0.115
12.903,-0.139
12.906,-0.163
12.908,-0.183
12.911,-0.183
12.914,-0.180
12.917,-0.183
12.919,-0.210
12.922,-0.244
12.925,-0.278
12.928,-0.295
12.931,-0.288
12.933,-0.271
12.936,-0.281
12.939,-0.298
12.942,-0.302
12.944,-0.315
12.947,-0.332
12.950,-0.325
12.953,-0.315
12.956,-0.319
12.958,-0.329
12.961,-0.336
12.964,-0.322
12.967,-0.298
12.969,-0.298
12.972,-0.305
12.975,-0.322
12.978,-0.332
12.981,-0.339
12.983,-0.339
12.986,-0.359
12.989,-0.366
12.992,-0.332
12.994,-0.258
12.997,-0.163
13.000,-0.027
13.003,0.159
13.006,0.400
13.008,0.742
13.011,1.264
13.014,1.942
13.017,2.671
13.019,3.261
13.022,3.505
13.025,3.346
13.028,2.969
13.031,2.519
13.033,1.912
13.036,1.058
13.039,0.169
13.042,-0.420
13.044,-0.698
13.047,-0.729
13.050,-0.607
13.053,-0.488
13.056,-0.431
13.058,-0.431
13.061,-0.434
13.064,-0.417
13.067,-0.383
13.069,-0.356
13.072,-0.353
13.075,-0.356
13.078,-0.342
13.081,-0.329
13.083,-0.322
13.086,-0.319
13.089,-0.322
13.092,-0.339
13.094,-0.346
13.097,-0.339
13.100,-0.312
13.103,-0.298
13.106,-0.315
13.108,-0.315
13.111,-0.308
13.114,-0.298
13.117,-0.288
13.119,-0.292
13.122,-0.312
13.125,-0.329
13.128,-0.329
13.131,-0.315
13.133,-0.295
13.136,-0.288
13.139,-0.298
13.142,-0.315
13.144,-0.322
13.147,-0.312
13.150,-0.285
13.153,-0.275
13.156,-0.285
13.158,-0.298
13.161,-0.295
13.164,-0.292
13.167,-0.275
13.169,-0.264
13.172,-0.271
13.175,-0.271
13.178,-0.271
13.181,-0.261
13.183,-0.251
13.186,-0.237
13.189,-0.241
13.192,-0.247
13.194,-0.241
13.197,-0.217
13.200,-0.207
13.203,-0.217
13.206,-0.231
13.208,-0.217
13.211,-0.207
13.214,-0.217
13.217,-0.210
13.219,-0.186
13.222,-0.176
13.225,-0.176
13.228,-0.173
13.231,-0.142
13.233,-0.112
13.236,-0.098
13.239,-0.102
13.242,-0.098
13.244,-0.071
13.247,-0.034
13.250,-0.007
13.253,0.017
13.256,0.037
13.258,0.041
13.261,0.047
13.264,0.068
13.267,0.119
13.269,0.153
13.272,0.169
13.275,0.180
13.278,0.203
13.281,0.251
13.283,0.302
13.286,0.336
13.289,0.353
13.292,0.363
13.294,0.390
13.297,0.420
13.300,0.444
13.303,0.478
13.306,0.495
13.308,0.495
13.311,0.508
13.314,0.522
13.317,0.542
13.319,0.553
13.322,0.563
13.325,0.563
13.328,0.566
13.331,0.573
13.333,0.576
13.336,0.573
13.339,0.576
13.342,0.573
13.344,0.553
13.347,0.525
13.350,0.508
13.353,0.481
13.356,0.451
13.358,0.424
13.361,0.397
13.364,0.366
13.367,0.349
13.369,0.312
13.372,0.268
13.375,0.231
13.378,0.197
13.381,0.159
13.383,0.122
13.386,0.095
13.389,0.047
13.392,0.003
13.394,-0.017
13.397,-0.031
13.400,-0.044
13.403,-0.081
13.406,-0.132
13.408,-0.183
13.411,-0.214
13.414,-0.227
13.417,-0.105
13.419,0.403
13.422,-1.688
13.425,-3.092
13.428,-3.383
13.431,-3.319
13.433,-2.224
13.436,-2.054
13.439,-2.014
13.442,-2.298
13.444,-2.790
13.447,-2.397
13.450,-2.505
13.453,-1.881
13.456,-0.495
13.458,0.098
13.461,-0.102
13.464,-0.325
13.467,-0.319
13.469,-0.261
13.472,-0.261
13.475,-0.292
13.478,-0.305
13.481,-0.288
13.483,-0.268
13.486,-0.281
13.489,-0.292
13.492,-0.288
13.494,-0.305
13.497,-0.319
13.500,-0.305
13.503,-0.302
13.506,-0.312
13.508,-0.322
13.511,-0.329
13.514,-0.325
13.517,-0.305
13.519,-0.312
13.522,-0.336
13.525,-0.339
13.528,-0.339
13.531,-0.319
13.533,-0.312
13.536,-0.312
13.539,-0.319
13.542,-0.325
13.544,-0.325
13.547,-0.312
13.550,-0.292
13.553,-0.288
13.556,-0.302
13.558,-0.315
13.561,-0.305
13.564,-0.275
13.567,-0.258
13.569,-0.271
13.572,-0.285
13.575,-0.295
13.578,-0.285
13.581,-0.264
13.583,-0.237
13.586,-0.244
13.589,-0.261
13.592,-0.261
13.594,-0.254
13.597,-0.237
13.600,-0.217
13.603,-0.217
13.606,-0.244
13.608,-0.268
13.611,-0.258
13.614,-0.241
13.617,-0.234
13.619,-0.237
13.622,-0.247
13.625,-0.241
13.628,-0.241
13.631,-0.244
13.633,-0.244
13.636,-0.241
13.639,-0.254
13.642,-0.264
13.644,-0.251
13.647,-0.231
13.650,-0.237
13.653,-0.251
13.656,-0.254
13.658,-0.261
13.661,-0.271
13.664,-0.258
13.667,-0.234
13.669,-0.231
13.672,-0.251
13.675,-0.261
13.678,-0.268
13.681,-0.258
13.683,-0.241
13.686,-0.241
13.689,-0.258
13.692,-0.295
13.694,-0.305
13.697,-0.288
13.700,-0.271
13.703,-0.261
13.706,-0.258
13.708,-0.278
13.711,-0.285
13.714,-0.271
13.717,-0.264
13.719,-0.271
13.722,-0.268
13.725,-0.261
13.728,-0.271
13.731,-0.275
13.733,-0.275
13.736,-0.268
13.739,-0.275
13.742,-0.275
13.744,-0.275
13.747,-0.275
13.750,-0.275
13.753,-0.275
13.756,-0.278
13.758,-0.275
13.761,-0.261
13.764,-0.247
13.767,-0.247
13.769,-0.254
13.772,-0.258
13.775,-0.281
13.778,-0.295
13.781,-0.275
13.783,-0.254
13.786,-0.264
13.789,-0.278
13.792,-0.302
13.794,-0.305
13.797,-0.278
13.800,-0.254
13.803,-0.264
13.806,-0.275
13.808,-0.275
13.811,-0.281
13.814,-0.271
13.817,-0.247
13.819,-0.244
13.822,-0.264
13.825,-0.278
13.828,-0.281
13.831,-0.281
13.833,-0.285
13.836,-0.278
13.839,-0.285
13.842,-0.285
13.844,-0.281
13.847,-0.278
13.850,-0.275
13.853,-0.268
13.856,-0.268
13.858,-0.278
13.861,-0.278
13.864,-0.268
13.867,-0.258
13.869,-0.268
13.872,-0.275
13.875,-0.278
13.878,-0.285
13.881,-0.268
13.883,-0.254
13.886,-0.244
13.889,-0.234
13.892,-0.231
13.894,-0.224
13.897,-0.220
13.900,-0.207
13.903,-0.186
13.906,-0.169
13.908,-0.166
13.911,-0.173
13.914,-0.166
13.917,-0.136
13.919,-0.108
13.922,-0.095
13.925,-0.085
13.928,-0.075
13.931,-0.068
13.933,-0.075
13.936,-0.095
13.939,-0.108
13.942,-0.108
13.944,-0.095
13.947,-0.092
13.950,-0.092
13.953,-0.112
13.956,-0.136
13.958,-0.156
13.961,-0.156
13.964,-0.142
13.967,-0.142
13.969,-0.159
13.972,-0.190
13.975,-0.217
13.978,-0.234
13.981,-0.237
13.983,-0.244
13.986,-0.264
13.989,-0.288
13.992,-0.305
13.994,-0.315
13.997,-0.325
14.000,-0.325
14.003,-0.319
14.006,-0.315
14.008,-0.312
14.011,-0.325
14.014,-0.322
14.017,-0.305
14.019,-0.308
14.022,-0.322
14.025,-0.329
14.028,-0.332
14.031,-0.329
14.033,-0.322
14.036,-0.319
14.039,-0.342
14.042,-0.390
14.044,-0.407
14.047,-0.356
14.050,-0.261
14.053,-0.166
14.056,-0.051
14.058,0.122
14.061,0.376
14.064,0.732
14.067,1.241
14.069,1.895
14.072,2.593
14.075,3.173
14.078,3.420
14.081,3.281
14.083,2.915
14.086,2.468
14.089,1.871
14.092,1.031
14.094,0.173
14.097,-0.393
14.100,-0.675
14.103,-0.736
14.106,-0.637
14.108,-0.515
14.111,-0.454
14.114,-0.441
14.117,-0.427
14.119,-0.403
14.122,-0.376
14.125,-0.363
14.128,-0.356
14.131,-0.356
14.133,-0.356
14.136,-0.339
14.139,-0.329
14.142,-0.339
14.144,-0.353
14.147,-0.356
14.150,-0.336
14.153,-0.332
14.156,-0.342
14.158,-0.349
14.161,-0.349
14.164,-0.339
14.167,-0.322
14.169,-0.325
14.172,-0.322
14.175,-0.336
14.178,-0.346
14.181,-0.332
14.183,-0.308
14.186,-0.308
14.189,-0.315
14.192,-0.329
14.194,-0.332
14.197,-0.312
14.200,-0.298
14.203,-0.295
14.206,-0.292
14.208,-0.302
14.211,-0.305
14.214,-0.295
14.217,-0.288
14.219,-0.298
14.222,-0.298
14.225,-0.295
14.228,-0.295
14.231,-0.288
14.233,-0.271
14.236,-0.271
14.239,-0.264
14.242,-0.268
14.244,-0.278
14.247,-0.264
14.250,-0.237
14.253,-0.241
14.256,-0.244
14.258,-0.251
14.261,-0.258
14.264,-0.254
14.267,-0.237
14.269,-0.217
14.272,-0.210
14.275,-0.214
14.278,-0.200
14.281,-0.180
14.283,-0.156
14.286,-0.142
14.289,-0.132
14.292,-0.122
14.294,-0.108
14.297,-0.098
14.300,-0.078
14.303,-0.054
14.306,-0.047
14.308,-0.034
14.311,-0.010
14.314,0.010
14.317,0.047
14.319,0.075
14.322,0.102
14.325,0.122
14.328,0.153
14.331,0.186
14.333,0.217
14.336,0.244
14.339,0.271
14.342,0.295
14.344,0.312
14.347,0.349
14.350,0.380
14.353,0.407
14.356,0.427
14.358,0.441
14.361,0.458
14.364,0.492
14.367,0.519
14.369,0.522
14.372,0.515
14.375,0.505
14.378,0.525
14.381,0.546
14.383,0.566
14.386,0.569
14.389,0.553
14.392,0.529
14.394,0.522
14.397,0.536
14.400,0.546
14.403,0.532
14.406,0.495
