Second,Rate
135500,58.5062
136000,58.2043
136500,57.7536
137000,57.6057
137500,57.4951
138000,57.3192
138500,57.1007
139000,57.6324
139500,58.6429
140000,59.8751
140500,61.3392
141000,61.2161
141500,59.9862
142000,58.5072
142500,56.8352
143000,56.0325
143500,55.7203
144000,55.6202
144500,55.8275
145000,56.2489
145500,57.9081
146000,59.3226
146500,59.5588
147000,59.761
147500,59.761
148000,59.8387
148500,60.446
149000,60.8976
149500,60.4098
150000,59.7977
150500,58.5333
151000,57.4478
151500,57.1212
152000,56.8182
152500,56.7153
153000,56.6081
153500,57.061
154000,57.6052
154500,57.777
155000,57.8883
155500,57.464
156000,56.8083
156500,57.0399
157000,57.8078
157500,58.0268
158000,57.8032
158500,57.7871
159000,58.0107
159500,58.0192
160000,57.6851
160500,57.2956
161000,56.6499
161500,56.1655
162000,56.0607
162500,55.9701
163000,56.1789
163500,56.3893
164000,56.6689
164500,56.9905
165000,57.6268
165500,58.4066
166000,58.758
166500,58.9887
167000,58.9764
167500,58.8606
168000,60.5128
168500,63.1523
169000,63.1523
169500,63.1523
170000,63.1523
170500,63.1523
171000,63.1523
171500,63.1523
172000,63.1523
172500,76.9231
173000,73.0549
173500,68.1765
174000,64.3208
174500,61.4754
175000,61.4754
175500,61.9378
176000,63.2514
176500,63.9722
177000,63.7006
177500,63.3232
178000,62.9243
178500,63.1247
179000,63.6589
179500,64.9645
180000,66.383
180500,65.8009
181000,64.8101
181500,63.9882
182000,63.4657
182500,64.1478
183000,64.436
183500,63.8881
184000,62.8347
184500,61.4194
185000,60.7949
185500,60.9183
186000,60.2992
186500,59.1082
187000,58.8356
187500,59.3006
188000,60.0156
188500,60.9914
189000,61.2017
189500,60.706
190000,60.0781
190500,59.3637
191000,58.6899
191500,58.0085
192000,57.493
192500,57.0559
193000,56.9685
193500,57.4056
194000,58.2587
194500,60.4043
195000,62.1979
195500,62.8518
196000,62.3261
196500,60.0923
197000,59.1013
197500,59.8101
198000,59.5564
198500,57.845
199000,56.6364
199500,56.0051
200000,55.4657
200500,54.7637
201000,54.1516
201500,54.3312
202000,54.5281
202500,54.7596
203000,55.0604
203500,55.2565
204000,55.4608
204500,55.7126
205000,56.1303
205500,56.0891
206000,54.8721
206500,53.9545
207000,53.8578
207500,53.7634
208000,53.3886
208500,52.9153
209000,52.9635
209500,53.2455
210000,53.6487
210500,54.6336
211000,55.2984
211500,54.797
212000,54.3478
212500,54.086
213000,53.7938
213500,53.8276
214000,53.9243
214500,53.9997
215000,54.0971
215500,54.218
216000,54.5145
216500,54.7413
217000,54.6418
217500,54.5455
218000,54.3006
218500,54.0063
219000,54.3187
219500,54.9138
220000,55.2353
220500,55.4395
221000,55.6981
221500,56.2222
222000,56.6365
222500,56.8517
223000,57.0188
223500,56.6972
224000,56.391
224500,56.391
225000,56.391
225500,57.3543
226000,58.5705
226500,60.3042
227000,62.2732
227500,65.1688
228000,67.8781
228500,66.5576
229000,64.9351
229500,64.9351
230000,63.8283
230500,61.0051
231000,58.6397
231500,56.8764
232000,56.4064
232500,59.3896
233000,62.7778
233500,66.6358
234000,69.2712
234500,68.9526
235000,67.3714
235500,65.5764
236000,64.8143
236500,64.3043
237000,63.3487
237500,61.9624
238000,58.9079
238500,56.4329
239000,57.3072
239500,58.1395
240000,57.4894
240500,56.8288
241000,57.0073
241500,57.2241
242000,57.0836
242500,56.8668
243000,56.4676
243500,55.9395
244000,56.7858
244500,58.7852
245000,59.5247
245500,59.056
246000,58.7173
246500,58.4884
247000,58.6504
247500,59.348
248000,59.4819
248500,58.7843
249000,58.6057
249500,59.3033
250000,59.8416
250500,60.0816
251000,59.7268
251500,58.2323
252000,57.0416
252500,56.1934
253000,55.5738
253500,55.7811
254000,55.9701
254500,57.4263
255000,58.9687
255500,59.1616
256000,59.2783
256500,58.0965
257000,56.7541
257500,56.8527
258000,57.1767
258500,56.3425
259000,54.9893
259500,55.2881
260000,56.8615
260500,57.736
261000,57.8473
261500,57.6039
262000,56.6314
262500,56.0259
263000,56.3427
263500,56.5744
264000,56.0503
264500,55.5556
265000,56.3155
265500,57.1637
266000,56.9927
266500,56.6686
267000,56.3176
267500,55.8968
268000,55.9281
268500,56.2426
269000,56.1422
269500,55.5202
270000,54.9921
270500,54.3003
271000,53.7634
271500,54.1513
272000,54.5423
272500,54.4672
273000,54.3684
273500,54.3478
274000,54.3478
274500,54.4601
275000,54.7587
275500,55.2088
276000,56.5824
276500,57.8623
277000,59.3806
277500,60.3355
278000,57.4436
278500,54.9451
279000,54.5674
279500,54.1707
280000,53.7291
280500,53.1551
281000,53.1376
281500,53.4215
282000,53.5056
282500,53.2216
283000,53.0035
283500,53.4649
284000,53.9416
284500,54.3996
285000,54.9947
285500,54.6454
286000,53.7623
286500,53.5671
287000,54.1495
287500,54.5574
288000,54.6569
288500,54.7445
289000,56.1123
289500,57.5862
290000,57.7868
290500,57.8981
291000,58.448
291500,59.1347
292000,60.3985
292500,61.8746
293000,60.6442
293500,58.7068
294000,57.5263
294500,56.4333
295000,58.427
295500,58.427
296000,58.427
296500,58.427
297000,58.427
297500,63.4306
298000,59.3333
298500,55.5556
299000,57.1234
299500,58.8731
300000,59.8848
300500,60.845
301000,59.017
301500,56.8311
302000,57.6455
302500,58.9878
303000,60.3985
303500,61.8746
304000,61.4168
304500,60.4169
305000,59.0888
305500,57.7039
306000,58.8675
306500,60.7441
307000,60.6508
307500,59.919
308000,58.6192
308500,57.1478
309000,58.1984
309500,60.2772
310000,61.0622
310500,61.1867
311000,60.3409
311500,59.1405
312000,60.3783
312500,62.6121
313000,65.2474
313500,67.8217
314000,71.5332
314500,75.4708
315000,77.4244
315500,73.3045
316000,73.3045
316500,73.3045
317000,73.3045
317500,73.3045
318000,73.3045
318500,73.3045
319000,73.3045
319500,73.3045
320000,73.3045
320500,56.0491
321000,56.783
321500,58.0541
322000,59.5255
322500,59.8604
323000,59.9799
323500,59.3202
324000,58.503
324500,58.8151
325000,59.3941
325500,59.5238
326000,59.5238
326500,58.5173
327000,57.1645
327500,56.8865
328000,56.9945
328500,57.208
329000,57.537
329500,57.2137
330000,56.1453
330500,55.4676
331000,55.1624
331500,54.9768
332000,55.2821
332500,55.5556
333000,55.4588
333500,55.3563
334000,55.4301
334500,55.5326
335000,55.4924
335500,55.3899
336000,55.1702
336500,54.7677
337000,54.5701
337500,54.6697
338000,54.7672
338500,55.1727
339000,55.5556
339500,55.1922
340000,54.7867
340500,54.8862
341000,55.0875
341500,55.4755
342000,56.0974
342500,56.9705
343000,58.4193
343500,60.6202
344000,60.6202
344500,60.6202
345000,64.8084
345500,63.0933
346000,61.2688
346500,61.0926
347000,61.5924
347500,60.9572
348000,59.9734
348500,59.2196
349000,58.522
349500,58.2843
350000,58.1712
350500,57.9928
351000,57.7692
351500,57.8863
352000,58.223
352500,59.0443
353000,60.3492
353500,60.5749
354000,59.849
354500,58.8566
355000,57.6118
355500,57.0812
356000,57.1901
356500,57.8775
357000,59.7393
357500,60.8851
358000,60.6393
358500,60.6261
359000,60.9964
359500,61.8346
360000,63.2737
360500,63.8052
361000,63.2665
361500,62.2018
362000,60.9311
362500,61.0671
363000,61.9455
363500,63.0271
364000,64.0956
364500,64.1388
365000,63.8649
365500,64.518
366000,65.2773
366500,65.7138
367000,65.1804
367500,62.5051
368000,60.5545
368500,60.0706
369000,59.3969
369500,58.3625
370000,57.1843
370500,55.3165
371000,54.0153
371500,55.2323
372000,56.391
372500,57.1953
373000,58.0696
373500,57.9481
374000,57.7245
374500,57.8658
375000,58.0894
375500,58.5486
376000,59.1231
376500,59.2082
377000,59.0915
377500,59.5237
378000,60.2381
378500,61.6081
379000,63.2811
379500,62.4086
380000,60.6142
380500,58.4494
381000,56.21
381500,57.7778
382000,60.8885
382500,60.8885
383000,60.8885
383500,60.8885
384000,60.8885
384500,60.8885
385000,65.2575
385500,60.3814
386000,57.3487
386500,54.897
387000,54.5381
387500,55.3434
388000,55.9707
388500,56.6068
389000,57.735
389500,60.8635
390000,62.9114
390500,61.7536
391000,60.3846
391500,58.743
392000,57.8507
392500,58.4163
393000,58.9076
393500,59.2577
394000,59.4196
394500,58.9546
395000,59.0071
395500,61.3558
396000,63.0369
396500,62.1291
397000,60.7471
397500,58.5265
398000,56.986
398500,56.7708
399000,56.9655
399500,60.4432
400000,63.6477
400500,64.0569
401000,63.8227
401500,62.2461
402000,60.0333
402500,56.9946
403000,55.1252
403500,55.0242
404000,54.9483
404500,55.0493
405000,55.1471
405500,55.7705
406000,56.4989
406500,56.7622
407000,56.9774
407500,56.831
408000,56.5093
408500,56.3378
409000,56.2322
409500,56.1029
410000,55.8941
410500,55.7398
411000,55.6365
411500,55.5108
412000,54.7114
412500,53.9568
413000,54.5366
413500,55.2335
414000,55.4186
414500,55.5211
415000,55.7661
415500,56.1838
416000,56.5119
416500,56.8335
417000,57.2463
417500,58.0261
418000,59.1499
418500,61.6327
419000,63.5143
419500,63.3802
420000,62.9473
420500,62.166
421000,61.4198
421500,60.7975
422000,59.6565
422500,58.0405
423000,57.0728
423500,56.6424
424000,56.5465
424500,57.0867
425000,57.406
425500,57.0794
426000,56.8469
426500,57.1735
427000,57.4713
427500,57.3616
428000,57.2519
428500,56.8628
429000,56.4323
429500,56.309
430000,56.2034
430500,55.8493
431000,55.3329
431500,55.1943
432000,55.296
432500,55.3506
433000,55.3506
433500,55.3375
434000,55.2358
434500,55.1471
435000,54.9555
435500,54.7542
436000,55.1312
436500,55.64
437000,57.7316
437500,57.7316
438000,57.7316
438500,57.7316
439000,57.7316
439500,57.7316
440000,57.7316
440500,57.7316
441000,57.7316
441500,73.243
442000,67.4057
442500,61.6914
443000,60
443500,60
444000,60.9721
444500,62.3528
445000,62.5553
445500,62.2948
446000,61.5875
446500,60.8316
447000,63.2342
447500,66.0209
448000,65.9022
448500,65.1623
449000,63.792
449500,62.674
450000,62.4136
450500,61.8823
451000,61.0039
451500,60.181
452000,59.4666
452500,59.2875
453000,59.8805
453500,61.2362
454000,63.7245
454500,65.7906
455000,66.8142
455500,66.4703
456000,65.4467
456500,64.6957
457000,64.1209
457500,63.8136
458000,63.5357
458500,63.4016
459000,63.2911
459500,63.2911
460000,63.8826
460500,65.4229
461000,65.5617
461500,64.1555
462000,61.1666
462500,57.6888
463000,56.726
463500,56.9412
464000,58.363
464500,61.2266
465000,62.5468
465500,62.1578
466000,61.597
466500,60.9697
467000,60.2679
467500,59.5478
468000,59.8082
468500,60.6517
469000,60.6595
469500,60.1717
470000,61.1532
470500,62.9329
471000,64.1894
471500,65.0184
472000,62.5983
472500,59.7516
473000,58.0123
473500,56.3403
474000,56.3426
474500,56.5546
