Date,"Mean daily temperature Saugeen River near Port Elgin"
1989-04-29,4
1989-04-30,9
1989-05-01,9.25
1989-05-02,3.75
1989-05-03,6.5
1989-05-04,7.25
1989-05-05,8.5
1989-05-06,13.25
1989-05-07,3.75
1989-05-08,2.25
1989-05-09,6.25
1989-05-10,6.75
1989-05-11,7
1989-05-12,6.25
1989-05-13,9.25
1989-05-14,10.25
1989-05-15,10.75
1989-05-16,10.25
1989-05-17,11.5
1989-05-18,14.25
1989-05-19,16.25
1989-05-20,19
1989-05-21,17.75
1989-05-22,14
1989-05-23,13
1989-05-24,14.25
1989-05-25,14.5
1989-05-26,19.25
1989-05-27,18.75
1989-05-28,8.75
1989-05-29,9
1989-05-30,14
1989-05-31,17.25
1989-06-01,19.25
1989-06-02,15.25
1989-06-03,16.75
1989-06-04,17
1989-06-05,14.25
1989-06-06,11
1989-06-07,15.25
1989-06-08,18
1989-06-09,19.75
1989-06-10,18.5
1989-06-11,11.5
1989-06-12,12
1989-06-13,13.5
1989-06-14,15
1989-06-15,15.75
1989-06-16,15.5
1989-06-17,16.5
1989-06-18,13.5
1989-06-19,16.75
1989-06-20,19
1989-06-21,17.25
1989-06-22,18.75
1989-06-23,21.5
1989-06-24,19
1989-06-25,21.75
1989-06-26,18.5
1989-06-27,21.5
1989-06-28,20.5
1989-06-29,16.75
1989-06-30,11.75
1989-07-01,12.5
1989-07-02,15.5
1989-07-03,17
1989-07-04,21.25
1989-07-05,21.25
1989-07-06,21.75
1989-07-07,22
1989-07-08,22
1989-07-09,17
1989-07-10,19.5
1989-07-11,23.25
1989-07-12,18.5
1989-07-13,18.25
1989-07-14,17.25
1989-07-15,15.5
1989-07-16,13
1989-07-17,15.75
1989-07-18,15.5
1989-07-19,20.75
1989-07-20,22.75
1989-07-21,21.5
1989-07-22,18.5
1989-07-23,22
1989-07-24,21.75
1989-07-25,22.75
1989-07-26,23.75
1989-07-27,26.75
1989-07-28,24.75
1989-07-29,19
1989-07-30,15.5
1989-07-31,20
1989-08-01,19
1989-08-02,19
1989-08-03,22.75
1989-08-04,22.75
1989-08-05,23.75
1989-08-06,24.5
1989-08-07,16.75
1989-08-08,12.5
1989-08-09,13.5
1989-08-10,18.5
1989-08-11,19.25
1989-08-12,19.75
1989-08-13,20
1989-08-14,20
1989-08-15,21.5
1989-08-16,20.75
1989-08-17,17.5
1989-08-18,15
1989-08-19,14.75
1989-08-20,16.25
1989-08-21,19.25
1989-08-22,19.75
1989-08-23,15.25
1989-08-24,18.25
1989-08-25,14.5
1989-08-26,13.5
1989-08-27,15.25
1989-08-28,17.5
1989-08-29,18.25
1989-08-30,21
1989-08-31,16.5
1989-09-01,17.25
1989-09-02,20.25
1989-09-03,13.25
1989-09-04,13.5
1989-09-05,14.75
1989-09-06,22
1989-09-07,21.75
1989-09-08,22
1989-09-09,22.75
1989-09-10,23.25
1989-09-11,17.75
1989-09-12,17
1989-09-13,14.25
1989-09-14,11.25
1989-09-15,8.75
1989-09-16,10.5
1989-09-17,10.25
1989-09-18,16.75
1989-09-19,13.75
1989-09-20,14.25
1989-09-21,15.25
1989-09-22,16.5
1989-09-23,17.75
1989-09-24,7.25
1989-09-25,6.75
1989-09-26,9.5
1989-09-27,9.25
1989-09-28,3.5
1989-09-29,10.75
1989-09-30,12
1989-10-01,8
1989-10-02,13
1989-10-03,14
1989-10-04,5
1989-10-05,7
1989-10-06,6.75
1989-10-07,9.75
1989-10-08,6.25
1989-10-09,4.25
1989-10-10,4.75
1989-10-11,2.75
1989-10-12,10.75
1989-10-13,12.25
1989-10-14,13.25
1989-10-15,11
1989-10-16,10
1989-10-17,12.5
1989-10-18,2.75
1989-10-19,2.5
1989-10-20,2.75
1989-10-21,4.5
1989-10-22,4
1989-10-23,6.5
1989-10-24,10.75
1989-10-25,14.25
1989-10-26,13.5
1989-10-27,15.25
1989-10-28,11.75
1989-10-29,13.25
1989-10-30,16
1989-10-31,15.5
1989-11-01,11.25
1989-11-02,2
1989-11-03,2.5
1989-11-04,-1
1989-11-05,-2
1989-11-06,7.5
1989-11-07,5.25
1989-11-08,3
1989-11-09,3
1989-11-10,4.25
1989-11-11,2
1989-11-12,5
1989-11-13,1.75
1989-11-14,8.25
1989-11-15,8.75
1989-11-16,9.25
1989-11-17,-2.25
1989-11-18,-4
1989-11-19,-4.5
1989-11-20,0.25
1989-11-21,2
1989-11-22,-6.25
1989-11-23,-5.25
1989-11-24,-10.5
1989-11-25,-1.75
1989-11-26,0.5
1989-11-27,0.25
1989-11-28,1.25
1989-11-29,-4
1989-11-30,-6.25
1989-12-01,-2.75
1989-12-02,-9.75
1989-12-03,-5
1989-12-04,-11.75
1989-12-05,-12.5
1989-12-06,-6.75
1989-12-07,-1.75
1989-12-08,-10.25
1989-12-09,-11
1989-12-10,-9.5
1989-12-11,-2.75
1989-12-12,-11.25
1989-12-13,-14.25
1989-12-14,-18.75
1989-12-15,-16.25
1989-12-16,-11.25
1989-12-17,-9.25
1989-12-18,-9.75
1989-12-19,-9.5
1989-12-20,-8.25
1989-12-21,-13
1989-12-22,-16.5
1989-12-23,-19.75
1989-12-24,-13.75
1989-12-25,-10
1989-12-26,-6.5
1989-12-27,-15.25
1989-12-28,-12.5
1989-12-29,-7
1989-12-30,-9
1989-12-31,-8.75
1990-01-01,-1
1990-01-02,-3.75
1990-01-03,-2.5
1990-01-04,-0.25
1990-01-05,1.75
1990-01-06,-3.5
1990-01-07,-8
1990-01-08,-7
1990-01-09,-1
1990-01-10,2.75
1990-01-11,-1.5
1990-01-12,-0.5
1990-01-13,-7.25
1990-01-14,-8.5
1990-01-15,-3.25
1990-01-16,-0.25
1990-01-17,2.5
1990-01-18,3.75
1990-01-19,-0.25
1990-01-20,-4.25
1990-01-21,-3.25
1990-01-22,-4.25
1990-01-23,-3.25
1990-01-24,-1.75
1990-01-25,1
1990-01-26,2
1990-01-27,-1.75
1990-01-28,1.75
1990-01-29,-2.25
1990-01-30,-2
1990-01-31,-3
1990-02-01,-0.25
1990-02-02,0.25
1990-02-03,-8.25
1990-02-04,-7
1990-02-05,-8.5
1990-02-06,-6.75
1990-02-07,0.75
1990-02-08,0.25
1990-02-09,3.75
1990-02-10,1
1990-02-11,-1.75
1990-02-12,-3
1990-02-13,0
1990-02-14,1.75
1990-02-15,-7
1990-02-16,-7.25
1990-02-17,-3
1990-02-18,-14.5
1990-02-19,-9
1990-02-20,-4.5
1990-02-21,-9
1990-02-22,-1
1990-02-23,1.75
1990-02-24,-4.5
1990-02-25,-9.75
1990-02-26,-15.5
1990-02-27,-10.25
1990-02-28,-4
1990-03-01,-7.25
1990-03-02,-7
1990-03-03,1
1990-03-04,-7.5
1990-03-05,-10.75
1990-03-06,-15.25
1990-03-07,-15.5
1990-03-08,-14
1990-03-09,-7.75
1990-03-10,1.5
1990-03-11,3
1990-03-12,4.25
1990-03-13,9.5
1990-03-14,13.75
1990-03-15,15.75
1990-03-16,16.75
1990-03-17,9.75
1990-03-18,6
1990-03-19,1
1990-03-20,-2
1990-03-21,-2.75
1990-03-22,0.25
1990-03-23,6.25
1990-03-24,-3.75
1990-03-25,-6
1990-03-26,-2
1990-03-27,-4.75
1990-03-28,-4.25
1990-03-29,-1.25
1990-03-30,2.25
1990-03-31,2.5
1990-04-01,5
1990-04-02,3.25
1990-04-03,3.75
1990-04-04,0.5
1990-04-05,3
1990-04-06,0.25
1990-04-07,-2.25
1990-04-08,-2.75
1990-04-09,1.75
1990-04-10,9
1990-04-11,3
1990-04-12,0.25
1990-04-13,-3
1990-04-14,0.65
1990-04-15,4
1990-04-16,4
1990-04-17,3.75
1990-04-18,1.25
1990-04-19,2
1990-04-20,7
1990-04-21,9.75
1990-04-22,8.25
1990-04-23,8.75
1990-04-24,14.5
1990-04-25,16.25
1990-04-26,21.75
1990-04-27,21.25
1990-04-28,22
1990-04-29,20.5
1990-04-30,19.25
1990-05-01,16
1990-05-02,6.5
1990-05-03,3.25
1990-05-04,5.75
1990-05-05,5.5
1990-05-06,10
1990-05-07,7.75
1990-05-08,8.75
1990-05-09,15.25
1990-05-10,14.5
1990-05-11,8.75
1990-05-12,5.5
1990-05-13,7.25
1990-05-14,10
1990-05-15,8.5
1990-05-16,14.75
1990-05-17,14
1990-05-18,12.25
1990-05-19,7.5
1990-05-20,6.75
1990-05-21,8.25
1990-05-22,11
1990-05-23,9
1990-05-24,9.5
1990-05-25,10
1990-05-26,11.5
1990-05-27,14.25
1990-05-28,14.75
1990-05-29,13
1990-05-30,10.5
1990-05-31,7
1990-06-01,12.25
1990-06-02,15.75
1990-06-03,23
1990-06-04,16.5
1990-06-05,8.25
1990-06-06,9.75
1990-06-07,16.5
1990-06-08,12.75
1990-06-09,13.25
1990-06-10,19
1990-06-11,14.25
1990-06-12,13.75
1990-06-13,12.5
1990-06-14,20.75
1990-06-15,21.5
1990-06-16,14.75
1990-06-17,20.5
1990-06-18,23.5
1990-06-19,19
1990-06-20,13
1990-06-21,12.5
1990-06-22,20
1990-06-23,17.75
1990-06-24,14.25
1990-06-25,12
1990-06-26,13.5
1990-06-27,21.25
1990-06-28,14.75
1990-06-29,13.5
1990-06-30,17.25
1990-07-01,17.5
1990-07-02,15.5
1990-07-03,15.75
1990-07-04,21.25
1990-07-05,26
1990-07-06,17
1990-07-07,15.75
1990-07-08,13.5
1990-07-09,19.5
1990-07-10,18.75
1990-07-11,16.75
1990-07-12,16.25
1990-07-13,14.75
1990-07-14,15.75
1990-07-15,14.75
1990-07-16,20.75
1990-07-17,20
1990-07-18,23.25
1990-07-19,21.75
1990-07-20,21
1990-07-21,19.25
1990-07-22,16
1990-07-23,15
1990-07-24,16.75
1990-07-25,16
1990-07-26,17
1990-07-27,19
1990-07-28,20.25
1990-07-29,22.25
1990-07-30,22.75
1990-07-31,18.5
1990-08-01,16.25
1990-08-02,15.25
1990-08-03,17.75
1990-08-04,18.75
1990-08-05,21.75
1990-08-06,20.25
1990-08-07,17
1990-08-08,14.25
1990-08-09,16.5
1990-08-10,20
1990-08-11,19.75
1990-08-12,17.25
1990-08-13,15.75
1990-08-14,18
1990-08-15,16
1990-08-16,19.25
1990-08-17,20
1990-08-18,21.75
1990-08-19,22.75
1990-08-20,17.25
1990-08-21,15.5
1990-08-22,17.5
1990-08-23,15.75
1990-08-24,21.5
1990-08-25,19.25
1990-08-26,20.25
1990-08-27,23.75
1990-08-28,22
1990-08-29,21.25
1990-08-30,18
1990-08-31,14.5
1990-09-01,16.5
1990-09-02,21.5
1990-09-03,17.75
1990-09-04,13.25
1990-09-05,15.5
1990-09-06,19.75
1990-09-07,18
1990-09-08,13.75
1990-09-09,11.25
1990-09-10,16
1990-09-11,18.25
1990-09-12,14.75
1990-09-13,15.75
1990-09-14,21
1990-09-15,20.75
1990-09-16,10.75
1990-09-17,9.75
1990-09-18,6.75
1990-09-19,7.5
1990-09-20,10.5
1990-09-21,10.75
1990-09-22,11.25
1990-09-23,13
1990-09-24,8
1990-09-25,9.75
1990-09-26,14
1990-09-27,12.75
1990-09-28,12
1990-09-29,17
1990-09-30,13.75
1990-10-01,7.75
1990-10-02,7
1990-10-03,9.75
1990-10-04,14.25
1990-10-05,12.75
1990-10-06,12
1990-10-07,20.5
1990-10-08,12.25
1990-10-09,8.5
1990-10-10,6.25
1990-10-11,8
1990-10-12,8
1990-10-13,5
1990-10-14,7.5
1990-10-15,8.75
1990-10-16,10.75
1990-10-17,7.75
1990-10-18,16.25
1990-10-19,10.5
1990-10-20,2.5
1990-10-21,5.25
1990-10-22,12.5
1990-10-23,6.25
1990-10-24,4.25
1990-10-25,5
1990-10-26,4.25
1990-10-27,1.75
1990-10-28,5
1990-10-29,2.25
1990-10-30,3
1990-10-31,6
1990-11-01,5
1990-11-02,10
1990-11-03,15.25
1990-11-04,15
1990-11-05,4.75
1990-11-06,3.25
1990-11-07,2.25
1990-11-08,2.5
1990-11-09,-0.5
1990-11-10,1
1990-11-11,3.25
1990-11-12,0.5
1990-11-13,-0.5
1990-11-14,-0.5
1990-11-15,3
1990-11-16,12
1990-11-17,8.25
1990-11-18,0
1990-11-19,-0.75
1990-11-20,1.75
1990-11-21,2
1990-11-22,4.5
1990-11-23,7.75
1990-11-24,4.25
1990-11-25,3
1990-11-26,1.5
1990-11-27,5.25
1990-11-28,10.75
1990-11-29,9.25
1990-11-30,-1
1990-12-01,0.75
1990-12-02,3.75
1990-12-03,-0.25
1990-12-04,-0.5
1990-12-05,-3
1990-12-06,-2.25
1990-12-07,-0.5
1990-12-08,-1.25
1990-12-09,1.75
1990-12-10,0.75
1990-12-11,0.25
1990-12-12,-1.75
1990-12-13,4
1990-12-14,0
1990-12-15,-7.25
1990-12-16,-3.5
1990-12-17,-1
1990-12-18,0.75
1990-12-19,2
1990-12-20,-4
1990-12-21,-3.25
1990-12-22,5.25
1990-12-23,6.25
1990-12-24,-5.5
1990-12-25,-9
1990-12-26,-8
1990-12-27,-11
1990-12-28,-7.5
1990-12-29,-2.5
1990-12-30,3.75
1990-12-31,-4.5
1991-01-01,-9.75
1991-01-02,-4.3
1991-01-03,-4.8
1991-01-04,-8.3
1991-01-05,-6.5
1991-01-06,-5.3
1991-01-07,-3.3
1991-01-08,-15
1991-01-09,-13.3
1991-01-10,-4
1991-01-11,-10.3
1991-01-12,-9
1991-01-13,-7.3
1991-01-14,-9.3
1991-01-15,-1.3
1991-01-16,1.8
1991-01-17,2
1991-01-18,-0.8
1991-01-19,-1.8
1991-01-20,1.3
1991-01-21,-5.8
1991-01-22,-14.8
1991-01-23,-12.5
1991-01-24,-6
1991-01-25,-11.8
1991-01-26,-12.8
1991-01-27,-9
1991-01-28,-5.8
1991-01-29,-2.8
1991-01-30,-9.3
1991-01-31,-6
1991-02-01,-8.3
1991-02-02,-6.5
1991-02-03,-2.3
1991-02-04,4.3
1991-02-05,6
1991-02-06,1.8
1991-02-07,1.3
1991-02-08,1.5
1991-02-09,1.5
1991-02-10,1
1991-02-11,-5.8
1991-02-12,-10
1991-02-13,-7.5
1991-02-14,-3
1991-02-15,-3.8
1991-02-16,-15
1991-02-17,-11.5
1991-02-18,-9
1991-02-19,-7
1991-02-20,3.3
1991-02-21,0
1991-02-22,2
1991-02-23,-3.8
1991-02-24,-10.3
1991-02-25,-4.3
1991-02-26,-2.8
1991-02-27,-7
1991-02-28,-7.3
1991-03-01,-3.8
1991-03-02,4
1991-03-03,3.3
1991-03-04,-8.3
1991-03-05,-3.3
1991-03-06,-1.3
1991-03-07,4.3
1991-03-08,-6
1991-03-09,-6.8
1991-03-10,-2.5
1991-03-11,-5.5
1991-03-12,-9.3
1991-03-13,-8.8
1991-03-14,-6
1991-03-15,-1
1991-03-16,-1.8
1991-03-17,-1
1991-03-18,0.8
1991-03-19,2
1991-03-20,3
1991-03-21,0.5
1991-03-22,4
1991-03-23,2
1991-03-24,9.8
1991-03-25,1.5
1991-03-26,1
1991-03-27,4.8
1991-03-28,12.8
1991-03-29,3
1991-03-30,-2.5
1991-03-31,-4.5
1991-04-01,-1
1991-04-02,1.8
1991-04-03,0
1991-04-04,2.5
1991-04-05,9
1991-04-06,11.8
1991-04-07,16.3
1991-04-08,20
1991-04-09,15.5
1991-04-10,7.5
1991-04-11,-0.3
1991-04-12,0.8
1991-04-13,1.8
1991-04-14,5.3
1991-04-15,5.3
1991-04-16,9
1991-04-17,7
1991-04-18,1.5
1991-04-19,5.3
1991-04-20,6
1991-04-21,1.8
1991-04-22,4
1991-04-23,5.3
1991-04-24,6.5
1991-04-25,10
1991-04-26,7.5
1991-04-27,11
1991-04-28,12.8
1991-04-29,14.3
1991-04-30,15.8
1991-05-01,14.8
1991-05-02,10.3
1991-05-03,5.8
1991-05-04,5.8
1991-05-05,6.3
1991-05-06,9.3
1991-05-07,10.3
1991-05-08,7.3
1991-05-09,5.5
1991-05-10,10
1991-05-11,15
1991-05-12,16
1991-05-13,19.3
1991-05-14,17.5
1991-05-15,18
1991-05-16,16.8
1991-05-17,20
1991-05-18,9.3
1991-05-19,9
1991-05-20,9.5
1991-05-21,12
1991-05-22,14.3
1991-05-23,18.5
1991-05-24,23.3
1991-05-25,21.8
1991-05-26,21.5
1991-05-27,20.8
1991-05-28,23
1991-05-29,20.8
1991-05-30,23.5
1991-05-31,21.5
1991-06-01,20
1991-06-02,19
1991-06-03,17.5
1991-06-04,15
1991-06-05,13.3
1991-06-06,13
1991-06-07,14.5
1991-06-08,15
1991-06-09,15.3
1991-06-10,16.3
1991-06-11,22.5
1991-06-12,19.3
1991-06-13,14
1991-06-14,10
1991-06-15,17
1991-06-16,24.8
1991-06-17,18.8
1991-06-18,19.5
1991-06-19,20.3
1991-06-20,20
1991-06-21,19
1991-06-22,18.3
1991-06-23,17
1991-06-24,14.3
1991-06-25,15.8
1991-06-26,17
1991-06-27,21.8
1991-06-28,26
1991-06-29,25.8
1991-06-30,23.5
1991-07-01,18.3
1991-07-02,16.3
1991-07-03,20.5
1991-07-04,20.8
1991-07-05,20.5
1991-07-06,20.5
1991-07-07,21.5
1991-07-08,22.3
1991-07-09,18
1991-07-10,15.8
1991-07-11,16.5
1991-07-12,17.5
1991-07-13,17
1991-07-14,19.3
1991-07-15,16
1991-07-16,15.3
1991-07-17,19
1991-07-18,23
1991-07-19,23
1991-07-20,25
1991-07-21,23.8
1991-07-22,23
1991-07-23,22.8
